,rating_1,rating_2,rating_3
hack,Informative,Ingenious,Fascinating
happiness,Inspiring,Informative,Fascinating
health,Inspiring,Informative,Fascinating
health care,Inspiring,Informative,Fascinating
hearing,Informative,Fascinating,Inspiring
heart health,Informative,Inspiring,Persuasive
history,Informative,Fascinating,Inspiring
human origins,Fascinating,Informative,Inspiring
humanity,Inspiring,Informative,Fascinating
humor,Funny,Inspiring,Fascinating
identity,Inspiring,Beautiful,Informative
illness,Inspiring,Fascinating,Informative
illusion,Fascinating,Jaw-dropping,Funny
immigration,Inspiring,Informative,Courageous
india,Inspiring,Fascinating,Beautiful
industrial design,Inspiring,Informative,Fascinating
inequality,Inspiring,Informative,Courageous
infrastructure,Informative,Inspiring,Fascinating
innovation,Inspiring,Informative,Fascinating
insects,Fascinating,Informative,Inspiring
intelligence,Informative,Inspiring,Fascinating
interface design,Jaw-dropping,Fascinating,Ingenious
interview,Inspiring,Informative,Fascinating
introvert,Inspiring,Informative,Fascinating
invention,Inspiring,Fascinating,Informative
investment,Inspiring,Informative,Persuasive
iraq,Inspiring,Courageous,Informative
jazz,Fascinating,Beautiful,Inspiring
journalism,Informative,Inspiring,Courageous
language,Informative,Fascinating,Inspiring
law,Inspiring,Persuasive,Informative
leadership,Inspiring,Informative,Persuasive
library,Inspiring,Fascinating,Informative
life,Inspiring,Fascinating,Informative
literature,Inspiring,Beautiful,Fascinating
live music,Beautiful,Inspiring,Fascinating
love,Inspiring,Beautiful,Funny
machine learning,Informative,Fascinating,Inspiring
magic,Jaw-dropping,Fascinating,Funny
manufacturing,Inspiring,Fascinating,Informative
map,Informative,Fascinating,Inspiring
marketing,Inspiring,Informative,Persuasive
materials,Inspiring,Fascinating,Informative
math,Fascinating,Informative,Inspiring
media,Inspiring,Informative,Courageous
medical imaging,Informative,Fascinating,Inspiring
medical research,Informative,Fascinating,Inspiring
medicine,Informative,Inspiring,Fascinating
meditation,Inspiring,Informative,Beautiful
meme,Persuasive,Informative,Fascinating
memory,Informative,Fascinating,Inspiring
men,Inspiring,Courageous,Persuasive
mental health,Inspiring,Informative,Fascinating
microbes,Informative,Fascinating,Inspiring
microbiology,Fascinating,Informative,Inspiring
microfinance,Inspiring,Informative,Ingenious
microsoft,Jaw-dropping,Fascinating,Ingenious
military,Inspiring,Informative,Persuasive
mind,Informative,Inspiring,Fascinating
mindfulness,Inspiring,Informative,Persuasive
mining,Jaw-dropping,Inspiring,Fascinating
mission blue,Informative,Inspiring,Persuasive
mobility,Informative,Inspiring,Fascinating
molecular biology,Fascinating,Informative,Inspiring
money,Inspiring,Informative,Persuasive
monkeys,Fascinating,Informative,Inspiring
morality,Informative,Inspiring,Fascinating
motivation,Inspiring,Informative,Persuasive
movies,Inspiring,Funny,Beautiful
museums,Fascinating,Informative,Inspiring
music,Inspiring,Beautiful,Fascinating
nanoscale,Fascinating,Informative,Jaw-dropping
narcotics,Informative,Inspiring,Persuasive
natural disaster,Inspiring,Informative,Ingenious
nature,Informative,Fascinating,Inspiring
neuroscience,Informative,Fascinating,Inspiring
news,Informative,Inspiring,Persuasive
nonviolence,Inspiring,Courageous,Persuasive
novel,Inspiring,Fascinating,Beautiful
nuclear energy,Inspiring,Informative,Fascinating
nuclear weapons,Informative,Persuasive,Inspiring
obesity,Informative,Inspiring,Persuasive
oceans,Fascinating,Informative,Inspiring
oil,Informative,Persuasive,Jaw-dropping
online video,Inspiring,Funny,Fascinating
open-source,Inspiring,Jaw-dropping,Ingenious
origami,Fascinating,Ingenious,Beautiful
pain,Inspiring,Courageous,Informative
painting,Beautiful,Fascinating,Inspiring
paleontology,Informative,Fascinating,Funny
pandemic,Informative,Ingenious,Inspiring
parenting,Inspiring,Funny,Persuasive
peace,Inspiring,Courageous,Beautiful
performance,Beautiful,Inspiring,Funny
performance art,Inspiring,Beautiful,Courageous
personal growth,Inspiring,Informative,Courageous
personality,Inspiring,Informative,Fascinating
pharmaceuticals,Informative,Persuasive,Fascinating
philanthropy,Inspiring,Persuasive,Informative
philosophy,Inspiring,Fascinating,Informative
photography,Inspiring,Beautiful,Jaw-dropping
physics,Fascinating,Informative,Inspiring
physiology,Fascinating,Informative,Inspiring
piano,Beautiful,Jaw-dropping,Inspiring
plants,Informative,Fascinating,Inspiring
plastic,Inspiring,Informative,Persuasive
play,Inspiring,Fascinating,Funny
poetry,Inspiring,Beautiful,Courageous
policy,Inspiring,Informative,Persuasive
politics,Inspiring,Informative,Persuasive
pollution,Inspiring,Informative,Fascinating
population,Informative,Fascinating,Persuasive
potential,Inspiring,Informative,Fascinating
poverty,Inspiring,Informative,Courageous
prediction,Informative,Fascinating,Inspiring
pregnancy,Informative,Fascinating,Inspiring
presentation,Informative,Inspiring,Persuasive
primates,Inspiring,Informative,Fascinating
prison,Inspiring,Informative,Courageous
privacy,Informative,Persuasive,Fascinating
product design,Inspiring,Informative,Fascinating
productivity,Inspiring,Funny,Informative
programming,Inspiring,Fascinating,Informative
prosthetics,Inspiring,Fascinating,Jaw-dropping
protests,Inspiring,Informative,Courageous
psychology,Inspiring,Informative,Fascinating
public health,Informative,Inspiring,Persuasive
public spaces,Beautiful,Inspiring,Fascinating
race,Inspiring,Courageous,Informative
refugees,Inspiring,Informative,Beautiful
relationships,Inspiring,Informative,Fascinating
religion,Inspiring,Persuasive,Informative
resources,Inspiring,Informative,Persuasive
rivers,Inspiring,Informative,Fascinating
robots,Fascinating,Informative,Inspiring
rocket science,Informative,Inspiring,Fascinating
sanitation,Informative,Inspiring,Persuasive
science,Informative,Fascinating,Inspiring
science and art,Fascinating,Inspiring,Beautiful
security,Informative,Inspiring,Persuasive
self,Inspiring,Informative,Fascinating
sex,Informative,Funny,Fascinating
sexual violence,Courageous,Inspiring,Informative
shopping,Informative,Fascinating,Ingenious
sight,Fascinating,Informative,Inspiring
simplicity,Inspiring,Funny,Informative
singer,Beautiful,Inspiring,Fascinating
skateboarding,Inspiring,Fascinating,Funny
sleep,Informative,Fascinating,Inspiring
smell,Informative,Fascinating,Ingenious
social change,Inspiring,Informative,Persuasive
social media,Inspiring,Informative,Courageous
society,Inspiring,Informative,Persuasive
sociology,Inspiring,Informative,Funny
software,Jaw-dropping,Inspiring,Informative
solar energy,Inspiring,Fascinating,Informative
solar system,Fascinating,Jaw-dropping,Informative
sound,Informative,Inspiring,Fascinating
space,Fascinating,Inspiring,Informative
speech,Inspiring,Informative,Fascinating
spoken word,Inspiring,Beautiful,Courageous
sports,Inspiring,Fascinating,Informative
state-building,Informative,Persuasive,Inspiring
statistics,Informative,Inspiring,Fascinating
storytelling,Inspiring,Beautiful,Fascinating
street art,Beautiful,Inspiring,Courageous
student,Inspiring,Persuasive,Informative
submarine,Fascinating,Inspiring,Informative
success,Inspiring,Informative,Persuasive
suicide,Courageous,Inspiring,Informative
sustainability,Inspiring,Informative,Persuasive
synthetic biology,Informative,Fascinating,Inspiring
teaching,Inspiring,Funny,Persuasive
technology,Inspiring,Fascinating,Informative
telecom,Inspiring,Informative,Persuasive
telescopes,Informative,Fascinating,Inspiring
television,Inspiring,Beautiful,Funny
terrorism,Informative,Inspiring,Courageous
testing,Inspiring,Funny,Persuasive
theater,Inspiring,Beautiful,Fascinating
time,Inspiring,Fascinating,Informative
toy,Inspiring,Ingenious,Fascinating
trafficking,Courageous,Inspiring,Informative
transportation,Inspiring,Informative,Fascinating
travel,Inspiring,Beautiful,Fascinating
trees,Inspiring,Informative,Fascinating
trust,Informative,Inspiring,Fascinating
typography,Inspiring,Funny,Beautiful
universe,Fascinating,Informative,Inspiring
urban,Inspiring,Informative,Fascinating
urban planning,Informative,Inspiring,Fascinating
violence,Inspiring,Courageous,Informative
violin,Beautiful,Jaw-dropping,Inspiring
virtual reality,Jaw-dropping,Fascinating,Inspiring
virus,Informative,Fascinating,Inspiring
visualizations,Fascinating,Jaw-dropping,Informative
vocals,Beautiful,Inspiring,Courageous
vulnerability,Inspiring,Beautiful,Courageous
war,Inspiring,Informative,Courageous
water,Inspiring,Informative,Fascinating
weather,Inspiring,Informative,Fascinating
web,Inspiring,Informative,Fascinating
wikipedia,Informative,Inspiring,Fascinating
wind energy,Informative,Persuasive,Inspiring
women,Inspiring,Courageous,Informative
women in business,Inspiring,Persuasive,Informative
work,Inspiring,Informative,Persuasive
work-life balance,Inspiring,Persuasive,Informative
world cultures,Inspiring,Informative,Fascinating
writing,Inspiring,Beautiful,Funny
wunderkind,Jaw-dropping,Beautiful,Inspiring
youth,Inspiring,Informative,Fascinating
